genome_ID	azored_pa
MGYG-HGUT-00226	present
MGYG-HGUT-00227	present
MGYG-HGUT-00228	present
MGYG-HGUT-00229	absent
MGYG-HGUT-00230	present
MGYG-HGUT-00231	absent
MGYG-HGUT-00232	present
MGYG-HGUT-00233	present
MGYG-HGUT-00234	present
MGYG-HGUT-00235	present
MGYG-HGUT-00236	present
MGYG-HGUT-00237	present
MGYG-HGUT-00238	present
MGYG-HGUT-00239	present
MGYG-HGUT-00240	present
MGYG-HGUT-00241	present
MGYG-HGUT-00242	present
MGYG-HGUT-00243	absent
MGYG-HGUT-00244	present
MGYG-HGUT-00245	absent
MGYG-HGUT-00246	present
MGYG-HGUT-00247	absent
MGYG-HGUT-00248	present
MGYG-HGUT-00249	present
MGYG-HGUT-00250	absent
MGYG-HGUT-00251	present
MGYG-HGUT-00252	absent
MGYG-HGUT-00253	absent
MGYG-HGUT-00254	present
MGYG-HGUT-00255	present
MGYG-HGUT-00256	present
MGYG-HGUT-00257	present
MGYG-HGUT-00258	absent
MGYG-HGUT-00259	absent
MGYG-HGUT-00260	present
MGYG-HGUT-00261	present
MGYG-HGUT-00262	absent
MGYG-HGUT-00263	absent
MGYG-HGUT-00264	present
MGYG-HGUT-00265	present
MGYG-HGUT-00266	present
MGYG-HGUT-00267	absent
MGYG-HGUT-00268	absent
MGYG-HGUT-00269	absent
MGYG-HGUT-00270	present
MGYG-HGUT-00271	absent
MGYG-HGUT-00272	absent
MGYG-HGUT-00273	absent
MGYG-HGUT-00274	absent
MGYG-HGUT-00275	present
MGYG-HGUT-00276	present
MGYG-HGUT-00277	present
MGYG-HGUT-00278	absent
MGYG-HGUT-00279	present
MGYG-HGUT-00280	absent
MGYG-HGUT-00281	absent
MGYG-HGUT-00282	absent
MGYG-HGUT-00283	absent
MGYG-HGUT-00284	present
MGYG-HGUT-00285	absent
MGYG-HGUT-00286	absent
MGYG-HGUT-00287	present
MGYG-HGUT-00288	present
MGYG-HGUT-00289	absent
MGYG-HGUT-00290	present
MGYG-HGUT-00291	present
MGYG-HGUT-00292	present
MGYG-HGUT-00293	absent
MGYG-HGUT-00294	absent
MGYG-HGUT-00295	present
MGYG-HGUT-00296	absent
MGYG-HGUT-00297	absent
MGYG-HGUT-00298	present
MGYG-HGUT-00299	present
MGYG-HGUT-00300	present
MGYG-HGUT-00301	absent
MGYG-HGUT-00302	present
MGYG-HGUT-00303	absent
MGYG-HGUT-00304	present
MGYG-HGUT-00305	absent
MGYG-HGUT-00306	present
MGYG-HGUT-00307	absent
MGYG-HGUT-00308	present
MGYG-HGUT-00309	present
MGYG-HGUT-00310	absent
MGYG-HGUT-00311	absent
MGYG-HGUT-00312	absent
MGYG-HGUT-00313	present
MGYG-HGUT-00314	present
MGYG-HGUT-00315	absent
MGYG-HGUT-00316	present
MGYG-HGUT-00317	present
MGYG-HGUT-00318	present
MGYG-HGUT-00319	absent
MGYG-HGUT-00320	present
MGYG-HGUT-00321	present
MGYG-HGUT-00322	present
MGYG-HGUT-00323	present
MGYG-HGUT-00324	present
MGYG-HGUT-00325	absent
MGYG-HGUT-00326	present
MGYG-HGUT-00327	present
MGYG-HGUT-00328	absent
MGYG-HGUT-00329	present
MGYG-HGUT-00330	present
MGYG-HGUT-00331	present
MGYG-HGUT-00332	absent
MGYG-HGUT-00333	present
MGYG-HGUT-00334	absent
MGYG-HGUT-00335	present
MGYG-HGUT-00336	absent
MGYG-HGUT-00337	present
MGYG-HGUT-00338	present
MGYG-HGUT-00339	absent
MGYG-HGUT-00340	present
MGYG-HGUT-00341	present
MGYG-HGUT-00342	absent
MGYG-HGUT-00343	absent
MGYG-HGUT-00344	present
MGYG-HGUT-00345	present
MGYG-HGUT-00346	absent
MGYG-HGUT-00347	absent
MGYG-HGUT-00348	present
MGYG-HGUT-00349	absent
MGYG-HGUT-00350	absent
MGYG-HGUT-00351	present
MGYG-HGUT-00352	absent
MGYG-HGUT-00353	present
MGYG-HGUT-00354	absent
MGYG-HGUT-00355	absent
MGYG-HGUT-00356	present
MGYG-HGUT-00357	present
MGYG-HGUT-00358	present
MGYG-HGUT-00359	present
MGYG-HGUT-00360	absent
MGYG-HGUT-00361	absent
MGYG-HGUT-00362	absent
MGYG-HGUT-00363	present
MGYG-HGUT-00364	absent
MGYG-HGUT-00365	absent
MGYG-HGUT-00366	absent
MGYG-HGUT-00367	absent
MGYG-HGUT-00368	absent
MGYG-HGUT-00369	present
MGYG-HGUT-00370	present
MGYG-HGUT-00371	absent
MGYG-HGUT-00372	absent
MGYG-HGUT-00373	absent
MGYG-HGUT-00374	absent
MGYG-HGUT-00375	absent
MGYG-HGUT-00376	absent
MGYG-HGUT-00377	present
MGYG-HGUT-00378	absent
MGYG-HGUT-00379	absent
MGYG-HGUT-00380	absent
MGYG-HGUT-00381	absent
MGYG-HGUT-00382	absent
MGYG-HGUT-00383	absent
MGYG-HGUT-00384	absent
MGYG-HGUT-00385	absent
MGYG-HGUT-00386	present
MGYG-HGUT-00387	absent
MGYG-HGUT-00388	absent
MGYG-HGUT-00389	absent
MGYG-HGUT-00390	present
MGYG-HGUT-00391	absent
MGYG-HGUT-00392	absent
MGYG-HGUT-00393	present
MGYG-HGUT-00394	present
MGYG-HGUT-00395	absent
MGYG-HGUT-00396	present
MGYG-HGUT-00397	absent
MGYG-HGUT-00398	absent
MGYG-HGUT-00399	absent
MGYG-HGUT-00400	absent
MGYG-HGUT-00401	absent
MGYG-HGUT-00402	absent
MGYG-HGUT-00403	absent
MGYG-HGUT-00404	absent
MGYG-HGUT-00405	present
MGYG-HGUT-00406	absent
MGYG-HGUT-00407	absent
MGYG-HGUT-00408	absent
MGYG-HGUT-00409	present
MGYG-HGUT-00410	absent
MGYG-HGUT-00411	present
MGYG-HGUT-00412	absent
MGYG-HGUT-00413	present
MGYG-HGUT-00414	absent
MGYG-HGUT-00415	present
MGYG-HGUT-00416	absent
MGYG-HGUT-00417	absent
MGYG-HGUT-00418	absent
MGYG-HGUT-00419	absent
MGYG-HGUT-00420	present
MGYG-HGUT-00421	absent
MGYG-HGUT-00422	absent
MGYG-HGUT-00423	absent
MGYG-HGUT-00424	absent
MGYG-HGUT-00425	absent
MGYG-HGUT-00426	absent
MGYG-HGUT-00427	present
MGYG-HGUT-00428	absent
MGYG-HGUT-00429	absent
MGYG-HGUT-00430	absent
MGYG-HGUT-00431	present
MGYG-HGUT-00432	absent
MGYG-HGUT-00433	present
MGYG-HGUT-00434	absent
MGYG-HGUT-00435	present
MGYG-HGUT-00436	present
MGYG-HGUT-00437	present
MGYG-HGUT-00438	present
MGYG-HGUT-00439	present
MGYG-HGUT-00440	absent
MGYG-HGUT-00441	absent
MGYG-HGUT-00442	present
MGYG-HGUT-00443	absent
MGYG-HGUT-00444	present
MGYG-HGUT-00445	absent
MGYG-HGUT-00446	absent
MGYG-HGUT-00447	absent
MGYG-HGUT-00448	absent
MGYG-HGUT-00449	absent
MGYG-HGUT-00450	absent
MGYG-HGUT-00451	absent
MGYG-HGUT-00452	present
MGYG-HGUT-00453	absent
MGYG-HGUT-00454	absent
MGYG-HGUT-00455	absent
MGYG-HGUT-00456	present
MGYG-HGUT-00457	absent
MGYG-HGUT-00458	absent
MGYG-HGUT-00459	absent
MGYG-HGUT-00460	absent
MGYG-HGUT-00461	absent
MGYG-HGUT-00462	absent
MGYG-HGUT-00463	absent
MGYG-HGUT-00464	absent
MGYG-HGUT-00465	absent
MGYG-HGUT-00466	present
MGYG-HGUT-00467	absent
MGYG-HGUT-00468	present
MGYG-HGUT-00469	absent
MGYG-HGUT-00470	present
MGYG-HGUT-00471	present
MGYG-HGUT-00472	absent
MGYG-HGUT-00473	absent
MGYG-HGUT-00474	present
MGYG-HGUT-00475	absent
MGYG-HGUT-00476	absent
MGYG-HGUT-00477	absent
MGYG-HGUT-00478	absent
MGYG-HGUT-00479	absent
MGYG-HGUT-00480	absent
MGYG-HGUT-00481	absent
MGYG-HGUT-00482	absent
MGYG-HGUT-00483	absent
MGYG-HGUT-00484	absent
MGYG-HGUT-00485	absent
MGYG-HGUT-00486	absent
MGYG-HGUT-00487	absent
MGYG-HGUT-00488	absent
MGYG-HGUT-00489	absent
MGYG-HGUT-00490	absent
MGYG-HGUT-00491	absent
MGYG-HGUT-00492	absent
MGYG-HGUT-00493	absent
MGYG-HGUT-00494	absent
MGYG-HGUT-00495	absent
MGYG-HGUT-00496	absent
MGYG-HGUT-00497	absent
MGYG-HGUT-00498	absent
MGYG-HGUT-00499	absent
MGYG-HGUT-00500	absent
MGYG-HGUT-00501	absent
MGYG-HGUT-00502	present
MGYG-HGUT-00503	absent
MGYG-HGUT-00504	present
MGYG-HGUT-00505	absent
MGYG-HGUT-00506	absent
MGYG-HGUT-00507	absent
MGYG-HGUT-00508	absent
MGYG-HGUT-00509	present
MGYG-HGUT-00510	present
MGYG-HGUT-00511	absent
MGYG-HGUT-00512	absent
MGYG-HGUT-00513	present
MGYG-HGUT-00514	present
MGYG-HGUT-00515	present
MGYG-HGUT-00516	absent
MGYG-HGUT-00517	absent
MGYG-HGUT-00518	absent
MGYG-HGUT-00519	present
MGYG-HGUT-00520	absent
MGYG-HGUT-00521	absent
MGYG-HGUT-00522	absent
MGYG-HGUT-00523	absent
MGYG-HGUT-00524	absent
MGYG-HGUT-00525	present
MGYG-HGUT-00526	absent
MGYG-HGUT-00527	absent
MGYG-HGUT-00528	absent
MGYG-HGUT-00529	absent
MGYG-HGUT-00530	absent
MGYG-HGUT-00531	present
MGYG-HGUT-00532	absent
MGYG-HGUT-00533	absent
MGYG-HGUT-00534	present
MGYG-HGUT-00535	present
MGYG-HGUT-00536	present
MGYG-HGUT-00537	absent
MGYG-HGUT-00538	absent
MGYG-HGUT-00539	present
MGYG-HGUT-00540	absent
MGYG-HGUT-00541	present
MGYG-HGUT-00542	absent
MGYG-HGUT-00543	absent
MGYG-HGUT-00544	absent
MGYG-HGUT-00545	absent
MGYG-HGUT-00546	absent
MGYG-HGUT-00547	present
MGYG-HGUT-00548	absent
MGYG-HGUT-00549	absent
MGYG-HGUT-00550	present
MGYG-HGUT-00551	present
MGYG-HGUT-00552	absent
MGYG-HGUT-00553	absent
MGYG-HGUT-00554	present
MGYG-HGUT-00555	present
MGYG-HGUT-00556	present
MGYG-HGUT-00557	present
MGYG-HGUT-00558	present
MGYG-HGUT-00559	absent
MGYG-HGUT-00560	absent
MGYG-HGUT-00561	absent
MGYG-HGUT-00562	absent
MGYG-HGUT-00563	present
MGYG-HGUT-00564	present
MGYG-HGUT-00565	present
MGYG-HGUT-00566	absent
MGYG-HGUT-00567	present
MGYG-HGUT-00568	absent
MGYG-HGUT-00569	absent
MGYG-HGUT-00570	present
MGYG-HGUT-00571	present
MGYG-HGUT-00572	absent
MGYG-HGUT-00573	absent
MGYG-HGUT-00574	absent
MGYG-HGUT-00575	present
MGYG-HGUT-00576	present
MGYG-HGUT-00577	present
MGYG-HGUT-00578	present
MGYG-HGUT-00579	present
MGYG-HGUT-00580	present
MGYG-HGUT-00581	absent
MGYG-HGUT-00582	present
MGYG-HGUT-00583	absent
MGYG-HGUT-00584	absent
MGYG-HGUT-00585	present
MGYG-HGUT-00586	absent
MGYG-HGUT-00587	absent
MGYG-HGUT-00588	present
MGYG-HGUT-00589	absent
MGYG-HGUT-00590	absent
MGYG-HGUT-00591	absent
MGYG-HGUT-00592	absent
MGYG-HGUT-00593	present
MGYG-HGUT-00594	present
MGYG-HGUT-00595	absent
MGYG-HGUT-00596	absent
MGYG-HGUT-00597	present
MGYG-HGUT-00598	present
MGYG-HGUT-00599	present
MGYG-HGUT-00600	absent
MGYG-HGUT-00601	present
MGYG-HGUT-00602	present
MGYG-HGUT-00603	present
MGYG-HGUT-00604	absent
MGYG-HGUT-00605	absent
MGYG-HGUT-00606	absent
MGYG-HGUT-00607	absent
MGYG-HGUT-00608	absent
MGYG-HGUT-00609	absent
MGYG-HGUT-00610	absent
MGYG-HGUT-00611	present
MGYG-HGUT-00612	present
MGYG-HGUT-00613	present
MGYG-HGUT-00614	absent
MGYG-HGUT-00615	absent
MGYG-HGUT-00616	present
MGYG-HGUT-00617	absent
MGYG-HGUT-00618	absent
MGYG-HGUT-00619	absent
MGYG-HGUT-00620	absent
MGYG-HGUT-00621	absent
MGYG-HGUT-00622	present
MGYG-HGUT-00623	absent
MGYG-HGUT-00624	present
MGYG-HGUT-00625	absent
MGYG-HGUT-00626	absent
MGYG-HGUT-00627	absent
MGYG-HGUT-00628	absent
MGYG-HGUT-00629	absent
MGYG-HGUT-00630	present
MGYG-HGUT-00631	absent
MGYG-HGUT-00632	present
MGYG-HGUT-00633	absent
MGYG-HGUT-00634	present
MGYG-HGUT-00635	absent
MGYG-HGUT-00636	absent
MGYG-HGUT-00637	absent
MGYG-HGUT-00638	present
MGYG-HGUT-00639	absent
MGYG-HGUT-00640	absent
MGYG-HGUT-00641	present
MGYG-HGUT-00642	present
MGYG-HGUT-00643	present
MGYG-HGUT-00644	absent
MGYG-HGUT-00645	present
MGYG-HGUT-00646	absent
MGYG-HGUT-00647	absent
MGYG-HGUT-00648	present
MGYG-HGUT-00649	present
MGYG-HGUT-00650	absent
MGYG-HGUT-00651	present
MGYG-HGUT-00652	absent
MGYG-HGUT-00653	present
MGYG-HGUT-00654	absent
MGYG-HGUT-00655	absent
MGYG-HGUT-00656	absent
MGYG-HGUT-00657	present
MGYG-HGUT-00658	present
MGYG-HGUT-00659	absent
MGYG-HGUT-00660	present
MGYG-HGUT-00661	absent
MGYG-HGUT-00662	present
MGYG-HGUT-00663	absent
MGYG-HGUT-00664	absent
MGYG-HGUT-00665	absent
MGYG-HGUT-00666	present
MGYG-HGUT-00667	absent
MGYG-HGUT-00668	absent
MGYG-HGUT-00669	absent
MGYG-HGUT-00670	present
MGYG-HGUT-00671	present
MGYG-HGUT-00672	absent
MGYG-HGUT-00673	absent
MGYG-HGUT-00674	absent
MGYG-HGUT-00675	present
MGYG-HGUT-00676	present
MGYG-HGUT-00677	absent
MGYG-HGUT-00678	absent
MGYG-HGUT-00679	absent
MGYG-HGUT-00680	absent
MGYG-HGUT-00681	present
MGYG-HGUT-00682	absent
MGYG-HGUT-00683	absent
MGYG-HGUT-00684	present
MGYG-HGUT-00685	absent
MGYG-HGUT-00686	absent
MGYG-HGUT-00687	absent
MGYG-HGUT-00688	present
MGYG-HGUT-00689	absent
MGYG-HGUT-00690	present
MGYG-HGUT-00691	absent
MGYG-HGUT-00692	present
MGYG-HGUT-00693	present
MGYG-HGUT-00694	present
MGYG-HGUT-00695	absent
MGYG-HGUT-00696	absent
MGYG-HGUT-00697	absent
MGYG-HGUT-00698	absent
MGYG-HGUT-00699	absent
MGYG-HGUT-00700	absent
MGYG-HGUT-00701	absent
MGYG-HGUT-00702	present
MGYG-HGUT-00703	present
MGYG-HGUT-00704	absent
MGYG-HGUT-00705	absent
MGYG-HGUT-00706	absent
MGYG-HGUT-00707	absent
MGYG-HGUT-00708	present
MGYG-HGUT-00709	absent
MGYG-HGUT-00710	present
MGYG-HGUT-00711	absent
MGYG-HGUT-00712	absent
MGYG-HGUT-00713	present
MGYG-HGUT-00714	absent
MGYG-HGUT-00715	absent
MGYG-HGUT-00716	present
MGYG-HGUT-00717	present
MGYG-HGUT-00718	absent
MGYG-HGUT-00719	absent
MGYG-HGUT-00720	present
MGYG-HGUT-00721	absent
MGYG-HGUT-00722	absent
MGYG-HGUT-00723	present
MGYG-HGUT-00724	absent
MGYG-HGUT-00725	present
MGYG-HGUT-00726	absent
MGYG-HGUT-00727	present
MGYG-HGUT-00728	absent
MGYG-HGUT-00729	absent
MGYG-HGUT-00730	absent
MGYG-HGUT-00731	absent
MGYG-HGUT-00732	absent
MGYG-HGUT-00733	absent
MGYG-HGUT-00734	absent
MGYG-HGUT-00735	absent
MGYG-HGUT-00736	absent
MGYG-HGUT-00737	present
MGYG-HGUT-00738	absent
MGYG-HGUT-00739	present
MGYG-HGUT-00740	absent
MGYG-HGUT-00741	absent
MGYG-HGUT-00742	present
MGYG-HGUT-00743	absent
MGYG-HGUT-00744	present
MGYG-HGUT-00745	absent
MGYG-HGUT-00746	present
MGYG-HGUT-00747	absent
MGYG-HGUT-00748	absent
MGYG-HGUT-00749	absent
MGYG-HGUT-00750	absent
MGYG-HGUT-00751	absent
MGYG-HGUT-00752	absent
MGYG-HGUT-00753	absent
MGYG-HGUT-00754	present
MGYG-HGUT-00755	present
MGYG-HGUT-00756	absent
MGYG-HGUT-00757	absent
MGYG-HGUT-00758	absent
MGYG-HGUT-00759	present
MGYG-HGUT-00760	absent
MGYG-HGUT-00761	present
MGYG-HGUT-00762	absent
MGYG-HGUT-00763	absent
MGYG-HGUT-00764	absent
MGYG-HGUT-00765	absent
MGYG-HGUT-00766	present
MGYG-HGUT-00767	present
MGYG-HGUT-00768	present
MGYG-HGUT-00769	present
MGYG-HGUT-00770	present
MGYG-HGUT-00771	present
MGYG-HGUT-00772	present
MGYG-HGUT-00773	present
MGYG-HGUT-00774	absent
MGYG-HGUT-00775	present
MGYG-HGUT-00776	present
MGYG-HGUT-00777	present
MGYG-HGUT-00778	present
MGYG-HGUT-00779	present
MGYG-HGUT-00780	present
MGYG-HGUT-00781	absent
MGYG-HGUT-00782	absent
MGYG-HGUT-00783	absent
MGYG-HGUT-00784	absent
MGYG-HGUT-00785	absent
MGYG-HGUT-00786	present
MGYG-HGUT-00787	present
MGYG-HGUT-00788	absent
MGYG-HGUT-00789	present
MGYG-HGUT-00790	present
MGYG-HGUT-00791	absent
MGYG-HGUT-00792	absent
MGYG-HGUT-00793	absent
MGYG-HGUT-00794	present
MGYG-HGUT-00795	present
MGYG-HGUT-00796	present
MGYG-HGUT-00797	present
MGYG-HGUT-00798	present
MGYG-HGUT-00799	absent
MGYG-HGUT-00800	absent
MGYG-HGUT-00801	present
MGYG-HGUT-00802	present
MGYG-HGUT-00803	absent
MGYG-HGUT-00804	present
MGYG-HGUT-00805	present
MGYG-HGUT-00806	present
MGYG-HGUT-00807	present
MGYG-HGUT-00808	absent
MGYG-HGUT-00809	absent
MGYG-HGUT-00810	present
MGYG-HGUT-00811	present
MGYG-HGUT-00812	present
MGYG-HGUT-00813	absent
MGYG-HGUT-00814	absent
MGYG-HGUT-00815	present
MGYG-HGUT-00816	absent
MGYG-HGUT-00817	present
MGYG-HGUT-00818	absent
MGYG-HGUT-00819	present
MGYG-HGUT-00820	absent
MGYG-HGUT-00821	present
MGYG-HGUT-00822	present
MGYG-HGUT-00823	absent
MGYG-HGUT-00824	absent
MGYG-HGUT-00825	absent
MGYG-HGUT-00826	present
MGYG-HGUT-00827	present
MGYG-HGUT-00828	present
MGYG-HGUT-00829	absent
MGYG-HGUT-00830	present
MGYG-HGUT-00831	absent
MGYG-HGUT-00832	present
MGYG-HGUT-00833	present
MGYG-HGUT-00834	present
MGYG-HGUT-00835	present
MGYG-HGUT-00836	absent
MGYG-HGUT-00837	absent
MGYG-HGUT-00838	present
MGYG-HGUT-00839	present
MGYG-HGUT-00840	present
MGYG-HGUT-00841	present
MGYG-HGUT-00842	present
MGYG-HGUT-00843	present
MGYG-HGUT-00844	present
MGYG-HGUT-00845	present
MGYG-HGUT-00846	present
MGYG-HGUT-00847	present
MGYG-HGUT-00848	absent
MGYG-HGUT-00849	absent
MGYG-HGUT-00850	absent
MGYG-HGUT-00851	absent
MGYG-HGUT-00852	absent
MGYG-HGUT-00853	absent
MGYG-HGUT-00854	absent
MGYG-HGUT-00855	present
MGYG-HGUT-00856	present
MGYG-HGUT-00857	absent
MGYG-HGUT-00858	present
MGYG-HGUT-00859	present
MGYG-HGUT-00860	present
MGYG-HGUT-00861	present
MGYG-HGUT-00862	present
MGYG-HGUT-00863	absent
MGYG-HGUT-00864	absent
MGYG-HGUT-00865	present
MGYG-HGUT-00866	present
MGYG-HGUT-00867	present
MGYG-HGUT-00868	present
MGYG-HGUT-00869	absent
MGYG-HGUT-00870	absent
MGYG-HGUT-00871	absent
MGYG-HGUT-00872	absent
MGYG-HGUT-00873	absent
MGYG-HGUT-00874	absent
MGYG-HGUT-00875	present
MGYG-HGUT-00876	absent
MGYG-HGUT-00877	absent
MGYG-HGUT-00878	present
MGYG-HGUT-00879	present
MGYG-HGUT-00880	absent
MGYG-HGUT-00881	present
MGYG-HGUT-00882	absent
MGYG-HGUT-00883	absent
MGYG-HGUT-00884	absent
MGYG-HGUT-00885	present
MGYG-HGUT-00886	absent
MGYG-HGUT-00887	absent
MGYG-HGUT-00888	present
MGYG-HGUT-00889	absent
MGYG-HGUT-00890	absent
MGYG-HGUT-00891	present
MGYG-HGUT-00892	absent
MGYG-HGUT-00893	absent
MGYG-HGUT-00894	absent
MGYG-HGUT-00895	absent
MGYG-HGUT-00896	present
MGYG-HGUT-00897	present
MGYG-HGUT-00898	absent
